project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject
268853,GRK 6: Räumliche Statistik,1997,2003,10349,Technische Universität Bergakademie Freiberg,7,
272247,GRK 413: Transportvorgänge in porösen Systemen der Verfahrens- und Geotechnik,1997,2003,10349,Technische Universität Bergakademie Freiberg,7,
5140520,Der Mikroprozeß der Partikelhaftung in der Festkörperverfahrenstecchnik (Haftkraftmessung) (B 1),1998,2002,10349,Technische Universität Bergakademie Freiberg,5,
5140526,Funktionalisierung von Partikeloberflächen durch Gasphasenreaktionen (B 2),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140532,Theorie der Struktur und Wechselwirkungen von auf nanorauhen und heterogenen Flächen adsorbierten Molekülschichten (B 3),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140538,Kraftflussprobleme in Kugelpackungen und Brucheigenschaften spröder Partikeln (B 4),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140542,Einfluß von Zusatzstoffen auf die Verdichtung und die Zerkleinerung feiner und feinster Gutbetten (B 5),1998,2001,10349,Technische Universität Bergakademie Freiberg,4,
5140588,Einfluß von Adsorptionsschichten auf die Fließeigenschaften gasdurchstömter feinkörniger Schüttgüter (B 7),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140720,Beeinflussung der Kontaktaufladung von Kunststoffen durch Modifizierung ihrer Oberfläche (B 9),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140732,Untersuchungen zur direkten Messung der interpartikularen Wechselwirkung keramischer Partikeln mit Hilfe der Atomkraftmikroskopie (C 1),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140740,Einfluß der Heterogenität von Modelladsorptionsschichten auf die Partikelwechselwirkung (C 2),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140744,Maßgeschneiderte chemische Hilfsstoffe für Prozesse der mechanischen Verfahrenstechnik (C 3),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140757,Einfluß von Sammlergemischen auf die Flotation (C 4),1998,2001,10349,Technische Universität Bergakademie Freiberg,4,
5140764,Rheologie und Aggregationsverhalten konzentrierte Suspensionen (C 5),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140782,Elektrophoretische Formgebung keramischer Materialien (C 6),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,
5140788,Einfluß von Zusatzstoffen auf die nasse Feinstmahlung in Rührwerksmühlen und auf die rheologischen Eigenschaften von Mahlgutsuspensionen (C 7),1998,2000,10349,Technische Universität Bergakademie Freiberg,3,
5346609,Der Mikroprozeß der Partikelhaftung in der Festkörperverfahrenstechnik ('Haftkraftmessung') (A 1),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
5346613,Untersuchungen zur direkten Messung von Oberflächenladung und diffuser Doppelschicht dispergierter keramischer Partikeln mit Hilfe der Atomkraftmikroskopie (A 2),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
5346617,Einfluß der Heterogenität von Modelladsorptionsschichten auf die Partikelwechselwirkung (A 3),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
5346621,Theorie der Struktur und Wechselwirkungen von auf mikrorauhen und heterogenen Flächen adsorbierten Monoschichten (A 4),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
5346625,Maßgeschneiderte chemische Hilfsstoffe für Prozesse der Partikeltechnologie (A 5),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
5346629,Rheologie und Aggregationsverhalten in konzentrierten Kaolinsuspensionen (A 6),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
5346633,Elektrophoretische Formgebung keramischer Materialien (A 7),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
5346637,Untersuchungen zur Wirkung und Wirkungsweise von Gemischen anionaktive und kationaktiver Sammler bei der Flotation (A 8),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
5346641,Der Einfluß von Zusatzstoffen auf die nasse Feinstmahlung (A 9),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
5346645,Einfluß von Adsorptionsschichten auf die Zerkleinerung feiner und feinster Gutbetten bei Druckbeanspruchung (A10),1995,1998,10349,Technische Universität Bergakademie Freiberg,4,
