source,target,value
5147,257935,1
5147,1023156,1
5147,1218754,1
5147,1286691,1
5147,1384496,1
5147,1384840,1
5147,1566017,1
5147,1614414,1
5147,1648718,1
5147,1669614,1
5147,194822853,1
5164,5166,1
5164,1068813,1
5164,1143755,1
5164,1196845,1
5164,1254812,1
5164,1277673,1
5164,1610643,1
5164,1647431,1
5164,1648718,1
5164,1690336,1
5164,23693267,1
5164,113397729,1
5164,113397748,1
5164,216731033,1
5164,216731084,1
5166,5983,1
5166,261690,1
5166,1068813,3
5166,1143755,3
5166,1196845,3
5166,1254812,1
5166,1277673,1
5166,1303339,1
5166,1309979,1
5166,1326859,1
5166,1610643,1
5166,1645947,1
5166,1647431,1
5166,1648718,1
5166,1690336,1
5166,23693267,1
5166,113397729,2
5166,113397748,2
5166,216731033,1
5166,216731084,2
5171,1208730,1
5183,1007500,1
5183,1254646,1
5183,1266844,1
5183,1307516,1
5183,1326649,1
5183,1365153,1
5183,1380403,1
5183,1421949,1
5183,1436785,2
5185,5789,2
5185,1228413,2
5185,1320527,1
5185,1351497,1
5185,1703026,1
5185,1883882,1
5185,1883892,1
5189,5194,2
5192,1176368,1
5192,1425265,2
5192,1648627,1
5192,1801434,2
5192,2004452,2
5192,2004469,2
5194,1247237,1
5194,1312450,1
5194,1731561,1
5194,1761820,1
5194,112475795,1
5194,112496775,1
5194,259392745,1
5207,1313459,1
5207,1751358,1
5220,999112,1
5220,1172838,1
5220,1377544,1
5220,1400716,1
5220,1547230,1
5220,1557421,1
5220,1632551,1
5220,1637740,1
5220,1763694,1
5220,1764058,1
5220,28485536,1
5220,45728364,1
5220,87221608,1
5220,113520501,1
5220,152010765,1
5220,167509179,1
5220,170491883,1
5220,195275001,1
5220,215859447,1
5245,254049,2
5245,1268456,1
5245,1284623,1
5245,1681193,3
5245,1681200,2
5245,1830958,1
5272,1089570,1
5272,1277907,1
5272,1407743,1
5272,1450301,1
5272,22483058,1
5272,32417834,1
5272,57607781,1
5272,110980332,1
5272,256944919,1
5272,256945668,1
5291,260476,1
5291,1351511,2
5291,1379600,1
5291,1461052,3
5291,14679523,1
5291,217856002,1
5301,5446,1
5301,1103152,1
5301,1155110,1
5301,1223031,1
5301,1240240,1
5301,1307282,1
5301,1335720,1
5301,1368684,1
5301,1397850,1
5301,1418556,1
5301,1432805,1
5301,1445680,1
5301,1464373,1
5301,1464791,1
5301,1611508,2
5301,1618565,1
5301,1620593,1
5301,1640944,1
5301,1661744,1
5301,1687626,2
5301,1718746,1
5301,23814462,1
5301,23814507,1
5301,23814551,1
5301,45523412,1
5301,56399540,1
5301,62645799,1
5301,162103316,1
5301,191843035,1
5303,1453480,1
5303,1708959,1
5303,101004995,2
5309,1458047,2
5314,1459128,1
5324,989259,1
5324,1011382,1
5324,1109892,2
5324,1114044,2
5324,1149466,2
5324,1179220,2
5324,1190911,1
5324,1371867,1
5324,1375553,2
5324,1416673,1
5324,1587588,1
5324,1651713,2
5324,1709007,1
5324,1715266,2
5324,1723039,2
5324,1725215,2
5324,13901592,1
5324,29180747,1
5324,178975550,1
5336,1036416,1
5336,1055937,1
5336,1278793,1
5352,1003772,2
