person_id,person_name,project_id_number,institution_id,institution_name
1388818,Professor Dr. Hartmut Zwahr,5151064,10351,Universität Leipzig
1069329,Professor Dr. Athanassios Giannis,272115,10351,Universität Leipzig
258174,Professor Dr. Friedbert Prüfer,272999,10351,Universität Leipzig
15928956,Dr. Judith Brinkschulte,272999,10351,Universität Leipzig
1631288,Professorin Dr. Michaela Schulz-Siegmund,125275740,10351,Universität Leipzig
1407246,Professorin Dr. Monika Wohlrab-Sahr,968612,10351,Universität Leipzig
250084562,Dr. John Heiker,250084214,10351,Universität Leipzig
1270866,Professorin Dr. Charlotte Schubert,5322336,10351,Universität Leipzig
1581522,Professor Dr. Gerhard Brewka,272455,10351,Universität Leipzig
1426360,Professor Dr. Torsten Schöneberg,452039,10351,Universität Leipzig
1377884,Privatdozent Dr. Hans-Gert Gräbe,272999,10351,Universität Leipzig
1037499,Professorin Dr. Birgit Dräger,270059,10351,Universität Leipzig
254820,Privatdozent Dr. Ulf Messow,270225,10351,Universität Leipzig
6686,Professorin Dr. Anita Steube,272179,10351,Universität Leipzig
1342309,Privatdozentin Dr. Cornelia Engler,270225,10351,Universität Leipzig
1450065,Professor Dr. Gerd Rudolph,272999,10351,Universität Leipzig
1855303,Dr. Andrea Berlich,61786089,10351,Universität Leipzig
1415169,Professor Dr. Harald Krautscheid,378603,10351,Universität Leipzig
1114982,Privatdozent Dr. Bernd Hunger,270225,10351,Universität Leipzig
1397380,Professor Dr. Peter Seibel,273153,10351,Universität Leipzig
1464467,Dr. Regina Metze,5151134,10351,Universität Leipzig
1842423,Privatdozentin Dr. Jane Neumann,228022302,10351,Universität Leipzig
1659153,Professor Dr. Ralf Hoffmann,272115,10351,Universität Leipzig
1267349,Professor Dr. Erich Schröger,818604,10351,Universität Leipzig
1461266,Professor Dr. Ulf Engel,968612,10351,Universität Leipzig
234756886,Dr. Agnieszka Kuc,286518848,10351,Universität Leipzig
1090066,Professor Dr. Jürgen Haase,378603,10351,Universität Leipzig
989138,Dr. Otmar Asperger,272115,10351,Universität Leipzig
1628966,Professorin Dr. Uta Kösser,5151152,10351,Universität Leipzig
1445903,Professor Dr. Erich Miersemann,272999,10351,Universität Leipzig
1220356,Professor Dr. Andreas Pöppl,5225607,10351,Universität Leipzig
1377251,Professor Dr. Friedrich Kremer,378603,10351,Universität Leipzig
320305239,Dr. Simone Cesarz,319936945,10351,Universität Leipzig
452611,Professorin Dr. Andrea A. Robitzki,452039,10351,Universität Leipzig
1708654,Professor Dr. Knut R. Asmis,273459,10351,Universität Leipzig
1259934,Professor Dr. Herbert Schmiedel,5347358,10351,Universität Leipzig
1880989,Professor Dr. Per K. Sørensen,82142759,10351,Universität Leipzig
80320500,Professorin Dr. Angelika Berlejung,80320488,10351,Universität Leipzig
1726434,Professor Dr. Michael Schaefer,452039,10351,Universität Leipzig
168534309,Dr. Rüdiger Schmidt-Grund,61826415,10351,Universität Leipzig
69567997,Professor Dr. Walter Brehm,142890189,10351,Universität Leipzig
1374982,Professor Dr. Wolfgang Gärtner,5233548,10351,Universität Leipzig
1504694,Privatdozent Dr. Helmut Knoll,270225,10351,Universität Leipzig
1172156,Professor Dr. Stephan Luckhaus,272999,10351,Universität Leipzig
232654842,Charlotte Bauer,178945343,10351,Universität Leipzig
1001453,Dr. Michael Beyer,5151060,10351,Universität Leipzig
1213828,Professor Dr. Thomas Pechmann,272179,10351,Universität Leipzig
195610958,Dr. Fabian Heck,242675213,10351,Universität Leipzig
1121472,Professor Dr. Adam Jones,968612,10351,Universität Leipzig
1296956,Professor Dr. Rüdiger Szargan,270225,10351,Universität Leipzig
1235579,Professorin Dr. Sabine Rieckhoff,5151084,10351,Universität Leipzig
244560303,Professorin Dr. Nina Topintzi,242675213,10351,Universität Leipzig
1621345,Professorin Dr. Ute Kunzmann,818604,10351,Universität Leipzig
1606443,Professor Dr. Roger Gläser,378603,10351,Universität Leipzig
1350358,Professor Dr. Reinhold Haberlandt,5225710,10351,Universität Leipzig
289782569,Dr. Sarah Ruth Sippel,289782445,10351,Universität Leipzig
1324891,Professor Dr. Gerhard Wendt,270225,10351,Universität Leipzig
1391211,Privatdozent Dr. Horst Ludger Vörtler,5225730,10351,Universität Leipzig
1136196,Professor Dr. Gotthard Klose,5347378,10351,Universität Leipzig
1005727,Professor Dr. Manfred Blessing,5175674,10351,Universität Leipzig
255128,Professor Dr. Kurt Eger,272115,10351,Universität Leipzig
1628917,Professor Dr. Wolfgang Hörner,5151100,10351,Universität Leipzig
1652352,Professor Dr. Ingo Bechmann,968539,10351,Universität Leipzig
1401418,Professor Dr. Jörg Gertel,968612,10351,Universität Leipzig
1366137,Professor Dr. Norbert Sträter,272115,10351,Universität Leipzig
1280187,Professor Dr. Hannes Siegrist,5151140,10351,Universität Leipzig
1067798,Professor Dr. Bodo Geyer,269303,10351,Universität Leipzig
1873705,Privatdozent Dr. Thomas Hase,82142759,10351,Universität Leipzig
1450669,Professor Dr. Jörg D. Jescheniak,818604,10351,Universität Leipzig
123165809,Professor Dr. Manfred Rudersdorf,82142759,10351,Universität Leipzig
1017805,Professor Dr. Ortwin Brede,270225,10351,Universität Leipzig
1841501,Dr. Alexander Weiß,5436196,10351,Universität Leipzig
39666173,Professor Dr. Michael Vohland,401668139,10351,Universität Leipzig
1374352,Professor Dr. Wolf-Dietrich Einicke,270225,10351,Universität Leipzig
1820048,Professor Dr. Michael Ziese,61949014,10351,Universität Leipzig
1242583,Professor Dr. Rudolf Rübsamen,452039,10351,Universität Leipzig
252272960,Professorin Dr. Sandhya Sundaresan,242675213,10351,Universität Leipzig
1628852,Professor Dr. Ulrich von Hehl,5151071,10351,Universität Leipzig
80299663,Dr. Ingo Breuer,5322116,10351,Universität Leipzig
1179359,Professor Dr. Thomas Magin,273495,10351,Universität Leipzig
339094056,Dr. Martin Gericke,339093756,10351,Universität Leipzig
1354966,Professor Dr. Matthias M. Müller,818604,10351,Universität Leipzig
1101613,Privatdozent Dr. Martin Helmstedt,5347469,10351,Universität Leipzig
32132120,Professor Dr. Philip Clart,289632894,10351,Universität Leipzig
262106,Privatdozentin Dr. Marlies Grunow,272115,10351,Universität Leipzig
1791545,Privatdozent Dr. Frank Stallmach,378603,10351,Universität Leipzig
1696277,Professorin Dr. Steffi Richter,968612,10351,Universität Leipzig
1097125,Professorin Dr. Evamarie Hey-Hawkins,272115,10351,Universität Leipzig
98526908,Professor Dr. Gregor Nikolaus Felix Weiß,241357988,10351,Universität Leipzig
1601704,Professorin Dr. Doris Schönefeld,242675213,10351,Universität Leipzig
1366480,Professor Dr. Joachim Reinhold,270225,10351,Universität Leipzig
1341159,Professorin Dr. Heidrun Zinecker,968612,10351,Universität Leipzig
1271937,Professorin Dr. Bärbel Schulze,272115,10351,Universität Leipzig
1492872,Professor Dr. Ullrich Heilemann,5361678,10351,Universität Leipzig
239672700,Dr. Ines Liebscher,228177064,10351,Universität Leipzig
1648451,Privatdozent Dr. Johannes Dölling,272179,10351,Universität Leipzig
1279712,Professor Dr. Klaus Sibold,272999,10351,Universität Leipzig
1641052,Professorin Dr. Annegret Nippa,5322110,10351,Universität Leipzig
1136983,Professor Dr. Hans-Peter Kleber,272115,10351,Universität Leipzig
288112998,Dr. Dieter Bayer,377207579,10351,Universität Leipzig
1000187,Professorin Dr. Annette G. Beck-Sickinger,272115,10351,Universität Leipzig
1048451,Professor Dr. Wolfgang Fach,5151090,10351,Universität Leipzig
1225564,Professor Dr. Hans-Bert Rademacher,272999,10351,Universität Leipzig
16788970,Professor Dr. Petrik Galvosas,378603,10351,Universität Leipzig
1380368,Professor Dr. Jens-Karl Eilers,452039,10351,Universität Leipzig
1210198,Professor Dr. Helmut Papp,270225,10351,Universität Leipzig
1387357,Dr. Brigitte Staudte,5347336,10351,Universität Leipzig
1819625,Privatdozent Dr. Heinz Böhlig,270225,10351,Universität Leipzig
1000789,Professor Dr. Dieter Beckert,272115,10351,Universität Leipzig
272915199,Dr. Antje Garten,339114131,10351,Universität Leipzig
112804731,Dr. Robert Günther,5366225,10351,Universität Leipzig
1464670,Professor Dr. Heinz-Werner Wollersheim,5151100,10351,Universität Leipzig
1060204,Professor Dr. Dieter Freude,270225,10351,Universität Leipzig
1197049,Professor Dr. Kurt Mühler,5151184,10351,Universität Leipzig
1207844,Professor Dr. Karl-Dieter Opp,5151184,10351,Universität Leipzig
1371332,Professor Dr. Werner Engewald,270225,10351,Universität Leipzig
1628864,Professor Dr. Matthias Middell,968612,10351,Universität Leipzig
21052325,Professor Dr. Klaus Kroy,39011260,10351,Universität Leipzig
1132810,Professorin Dr. Catharina Kiehnle,82142759,10351,Universität Leipzig
1466399,Professor Dr. Jürgen Arnhold,272115,10351,Universität Leipzig
201546403,Privatdozent Dr. Marco Koch,338335938,10351,Universität Leipzig
