person_id,project_id_number
1394470,5299536
1394470,5322374
1394470,5432780
1394470,16932853
1394470,175245856
257249,271303
1052859,5356365
1719351,5307810
1719351,5438195
1098634,5169180
5451,5106162
5451,5106278
5451,5232611
5451,5300202
66148174,183626985
66148174,240413749
66148174,250998220
1242596,5086054
1639776,5169710
1639776,5259724
1639776,5283702
1637967,5249290
1637967,5323928
1637967,5407210
1637967,5455299
1637967,5455346
1637967,5455446
1637967,5464159
1637967,5486344
1637967,29139072
1637967,142501795
1637967,142542589
1637967,185042070
1637967,220100693
1637967,258183570
1637967,262764871
1637967,273920612
1637967,287321116
1637967,316184878
1637967,317299865
1637967,392530138
1637967,393890774
290567743,265966524
290567743,277230623
290567743,285843797
162738104,162736553
162738104,262040769
30572829,394588691
1726416,5411800
1716275,5302316
1716275,5402764
1716275,13532522
1716275,19658414
1716275,19658458
1716275,19658929
1716275,251670115
1716275,325931972
1716275,398124938
1716275,398145542
1716275,398280900
1716275,398317176
1178828,5222084
1178828,5253560
1178828,23650813
1178828,140842510
1178828,177388414
1178828,194709232
1178828,214286491
1178828,248911821
1178828,255450733
1178828,260738363
1178828,273202924
1178828,282998623
1178828,335181839
1759736,5371273
1759736,22176190
1759736,170444734
1759736,281361126
1643010,5186140
1643010,5351813
1643010,5351888
1643010,17567409
1643010,26089108
1643010,49619325
1643010,97912726
1643010,110284502
1643010,166200949
1643010,222284409
1643010,236761652
1643010,252274958
1643010,273042208
1643010,276016065
1643010,389806487
1669445,5363278
1231364,271797
1231364,374710
1231364,5081298
1231364,5358739
1231364,47858340
1231364,323581543
50888965,233512675
50888965,235577387
1554461,5182232
1433166,5282390
48144925,48144929
236747435,263483514
392389870,395594770
1147851,5076728
1147851,5213314
1147851,5248030
1147851,5345983
1147851,5484228
1086286,5356760
1086286,5356772
1086286,5393471
1086286,26333934
1295929,5333186
1295929,5351164
1295929,5414529
1295929,5420578
1295929,5423990
1461431,5409247
68257582,68257570
1127088,5330478
1127088,5435183
20804994,20805014
20804994,25106151
20804994,41694162
20804994,136355964
20804994,176944533
20804994,226688656
20804994,271749009
20804994,277680365
20804994,319116190
20804994,324881305
157898487,157898991
157898487,238311507
249089014,321818926
1369275,243720892
1369275,397992511
1775296,5386063
1775296,214118604
