source,target,value
1000101,1367782,1
1000101,1434630,1
1000101,1459497,1
1000101,1474453,1
1000101,1570188,1
1000101,1718768,1
1000101,196172814,1
1000101,19863101,1
1000101,215839832,1
1000101,47162050,1
1000101,57403004,1
1000120,1011105,1
1000120,1077519,1
1000120,1143702,1
1000120,1167890,1
1000120,1206395,1
1000120,1324932,1
1000120,1390842,1
1000120,1398239,1
1000120,1493751,1
1000120,1585062,1
1000120,1594245,2
1000120,1604137,1
1000120,181677058,1
1000120,183892648,1
1000120,1839916,1
1000120,229708365,1
1000120,232483370,1
1000120,319810031,1
1000120,324602457,1
1000120,328064330,1
1000120,62891833,1
1000187,1000789,1
1000187,1017805,1
1000187,1047463,1
1000187,1069329,1
1000187,1078414,1
1000187,1087189,1
1000187,1090066,1
1000187,1097125,2
1000187,1118982,1
1000187,1136983,1
1000187,1210198,1
1000187,1226587,1
1000187,1248968,1
1000187,1271937,1
1000187,1349537,1
1000187,1354160,1
1000187,1366137,1
1000187,1368017,1
1000187,1377251,1
1000187,138385094,1
1000187,1415169,1
1000187,1466399,1
1000187,1498133,1
1000187,1606443,1
1000187,1659153,1
1000187,1661477,1
1000187,1680021,1
1000187,1692065,1
1000187,1721350,1
1000187,1722752,1
1000187,1741499,1
1000187,1755353,1
1000187,21052325,1
1000187,255128,1
1000187,262106,1
1000187,32970840,1
1000187,35388638,1
1000187,452611,1
1000187,987537,1
1000187,989138,1
1000196,1028151,1
1000196,1189874,1
1000196,1429217,1
1000196,1490803,1
1000196,1540732,1
1000196,1564633,1
1000196,1590192,1
1000196,1644031,1
1000196,1678903,1
1000196,1801719,1
1000196,1821398,1
1000196,2045084,1
1000196,255389782,1
1000196,988806,1
1000219,1696586,1
1000226,1038266,1
1000226,14270373,3
1000226,1498102,5
1000226,1559283,1
1000226,1565642,1
1000226,1574156,2
1000226,171864286,2
1000226,1721628,1
1000256,1219408,1
1000256,1426516,1
1000256,1492151,1
1000256,1627183,1
1000256,1635282,1
1000256,254620,1
1000256,389789,1
1000256,6626,1
1000256,989240,1
1000386,1033753,1
1000386,1080943,1
1000386,1379218,1
1000386,1424651,1
1000386,1648849,1
1000386,1720718,1
1000386,1816941,1
1000386,1821930,1
1000386,233867230,1
1000386,23651203,1
1000386,29139569,1
1000386,314106309,1
1000452,1003342,1
1000452,1047328,1
1000452,1126578,1
1000452,1237432,1
1000452,1309525,1
1000452,1357035,1
1000452,1366092,1
1000452,1377666,1
1000452,1409372,1
1000452,1693529,1
1000452,255884,1
1000452,258537,1
1000452,258549,1
1000493,1150806,1
1000493,1348729,1
1000493,1428594,1
1000493,146597553,1
1000493,146638216,1
1000493,1615775,1
1000493,1706910,1
1000493,188428736,1
1000493,198180055,1
1000493,23445547,1
1000493,269824654,1
1000544,1009541,1
1000544,1098267,1
1000544,1109446,1
1000544,1229134,1
1000544,1245488,1
1000544,1273345,1
1000544,1334515,1
1000544,1433258,1
1000544,256917,1
1000544,256937,1
1000569,1345682,1
1000569,169469439,1
1000569,27398159,1
1000592,1636395,1
1000592,6548,1
1000762,157084772,1
1000762,228912845,1
1000762,65697282,1
1000789,1000187,1
1000789,1017805,1
1000789,1069329,1
1000789,1087189,1
1000789,1097125,1
1000789,1136983,1
1000789,1210198,1
1000789,1271937,1
1000789,1366137,1
1000789,1466399,1
1000789,1659153,1
1000789,255128,1
1000789,262106,1
1000789,989138,1
1000863,1897377,1
1000920,1016822,1
1000920,1076414,1
1000920,1085305,1
1000920,1101867,1
1000920,1145121,1
1000920,1160998,1
1000920,1194439,1
1000920,1224506,1
1000920,126729907,1
1000920,1268987,1
1000920,1319030,1
1000920,1354095,1
1000920,1380935,3
1000920,1427594,1
1000920,1494824,1
1000920,1595387,1
1000920,1616736,1
1000920,1677861,2
1000920,1715262,1
1000920,1748121,1
1000920,1763092,1
1000920,1785659,1
1000920,1829222,1
1000920,1847384,1
1000920,188696771,1
1000920,193454347,1
1000920,215534114,1
1000920,215923880,1
1000920,22466291,1
1000920,224747376,1
1000920,259445,1
1000920,28568393,2
1000920,89986763,1
1000925,1114661,2
1000925,1221616,1
1000925,1301722,1
1000925,19719589,1
1000957,1013278,1
1000957,1644505,1
1000957,184485642,1
1000957,30984233,1
1000991,1365893,1
1000991,1374876,1
1000991,1438962,1
1000991,1459543,1
1000991,1544218,1
1000991,1570176,1
1000991,1590866,1
1000991,1747394,1
1000991,251453216,1
1001033,1391540,1
1001033,826704,1
1001056,1195271,1
1001056,1298425,1
1001056,1408455,1
1001056,1417210,1
1001056,1620375,1
1001056,1718768,1
1001056,1869820,1
1001056,35960851,1
1001056,426120,1
1001056,999209,1
1001115,1434967,1
1001115,14436316,1
1001115,1472554,1
1001115,1538913,1
1001115,1591952,1
1001115,1638099,1
1001115,1779777,1
1001115,1867333,1
1001115,201191705,1
1001115,389222832,1
1001170,1344307,1
100123962,1014298,1
100123962,1040092,1
100123962,1077405,1
100123962,1116053,1
100123962,1135663,1
100123962,1184006,1
100123962,120380823,1
100123962,1379407,1
100123962,1382567,1
100123962,1428382,1
100123962,1444541,3
100123962,1464432,1
100123962,1581377,1
100123962,1634094,1
100123962,1665945,1
100123962,1684958,2
100123962,1694795,1
100123962,1753067,4
100123962,180263443,1
100123962,1857927,1
100123962,1860473,1
100123962,1960979,2
100123962,2038337,1
100123962,221309560,1
100123962,221310194,1
100123962,257058527,1
100123962,63854332,1
1001243,1632118,1
1001243,1754579,1
1001243,1935194,1
1001243,69096789,1
1001243,69096991,1
1001243,818854,1
1001291,55395729,1
1001440,1055736,1
1001440,116041194,1
1001440,1172637,1
1001440,1298406,1
1001440,1334871,1
1001440,1374922,1
1001440,1378061,1
1001440,1379234,1
1001440,1396161,1
1001440,1408752,1
1001440,1568816,1
1001440,1640376,3
1001440,1670150,1
1001440,1774497,1
1001440,1793673,1
1001440,1819170,1
1001440,1826774,1
1001440,226182485,1
1001440,389350,1
1001440,62829848,1
1001440,87958888,1
1001440,89249010,1
1001440,89249294,1
1001440,89269831,1
1001735,1088258,1
1001735,1143702,1
1001735,1206395,1
1001735,1686626,1
1001735,1841029,1
1001735,260294,1
1001735,260296,1
1001735,6384,1
1001816,1172111,1
1001816,1612207,1
1001816,18715935,1
1001816,221628121,1
1001816,26479394,2
1001876,1274065,1
1001876,15642663,1
1001901,1037714,1
1001901,1099113,1
1001901,1197472,2
1001901,1234193,1
1001901,1377623,1
1001901,1410996,1
1001901,1519963,1
1001901,1548280,1
1001901,161781731,1
1001901,1636070,1
1001901,1638967,1
1001901,1706084,1
1001901,1741172,1
1001901,187275992,1
1001901,19984859,1
1001901,76388233,1
1001901,819961,1
1001931,1024315,1
1001931,220519872,1
100226053,1073314,1
100226053,174302624,1
100226053,235215074,1
1002572,1009988,1
1002572,1025270,1
1002572,1045555,1
1002572,1064267,1
1002572,1077076,6
1002572,1095990,1
1002572,1138395,1
1002572,1154605,1
1002572,1177853,3
1002572,12631256,1
1002572,129494522,1
1002572,1306743,1
1002572,1311304,1
1002572,1373956,1
1002572,1413826,1
1002572,1427020,2
1002572,1434437,1
1002572,1435327,1
1002572,1445131,2
1002572,1450348,1
1002572,1459979,1
1002572,1506533,1
1002572,1602794,1
1002572,1644497,1
1002572,1676305,1
1002572,1676530,1
1002572,1695582,1
1002572,1719374,1
1002572,18183306,1
1002572,1849236,1
1002572,1907918,1
1002572,1968542,1
1002572,232611696,1
1002572,252196,1
1002572,25556226,1
1002572,260005,1
1002572,32459666,1
1002572,6344,1
1002572,74237600,2
1002572,78131111,1
1002755,1634872,1
1002755,988792,1
1002788,1021562,1
1002788,1070191,2
1002788,1323187,1
1002788,1347234,1
1002788,1352161,1
1002788,1458422,1
1002788,1464328,1
1002788,1517706,1
1002788,1552267,1
1002788,1593331,1
1002788,1611261,1
1002788,261960,1
100287921,1045993,1
100287921,1366023,1
100287921,1519751,1
100287921,1762262,1
100287921,1773663,1
100287921,1867244,1
100287921,81385032,1
1002896,1041235,1
1002896,1419784,1
1003166,109404086,1
1003166,120319252,1
1003166,1220067,1
1003166,1848135,1
1003166,204116693,1
1003166,258335028,1
1003215,1173402,2
1003215,1185010,2
1003215,1400577,2
1003240,1119776,1
1003342,1000452,1
1003342,1047328,1
1003342,1126578,1
1003342,1237432,1
1003342,1309525,1
1003342,1357035,1
1003342,1366092,1
1003342,1377666,1
1003342,1409372,1
1003342,1693529,1
1003342,255884,1
1003342,258537,1
1003342,258549,1
1003342,28874431,1
1003365,1176331,1
1003365,1202734,1
1003365,1524649,2
1003365,1602293,1
1003365,1662821,1
1003365,1729534,1
1003365,1818123,2
1003365,1845092,1
1003379,1055994,1
1003379,1135263,3
1003379,1144268,1
1003379,1228225,2
1003379,1300004,1
1003379,1348729,2
1003379,1358074,2
1003379,1435102,1
1003379,1467831,1
