project_id_number,institution_id,duration,year
268853,10349,7,1997.0
268853,10349,7,1998.0
268853,10349,7,1999.0
268853,10349,7,2000.0
268853,10349,7,2001.0
268853,10349,7,2002.0
268853,10349,7,2003.0
272247,10349,7,1997.0
272247,10349,7,1998.0
272247,10349,7,1999.0
272247,10349,7,2000.0
272247,10349,7,2001.0
272247,10349,7,2002.0
272247,10349,7,2003.0
5140520,10349,5,1998.0
5140520,10349,5,1999.0
5140520,10349,5,2000.0
5140520,10349,5,2001.0
5140520,10349,5,2002.0
5140526,10349,7,1998.0
5140526,10349,7,1999.0
5140526,10349,7,2000.0
5140526,10349,7,2001.0
5140526,10349,7,2002.0
5140526,10349,7,2003.0
5140526,10349,7,2004.0
5140532,10349,7,1998.0
5140532,10349,7,1999.0
5140532,10349,7,2000.0
5140532,10349,7,2001.0
5140532,10349,7,2002.0
5140532,10349,7,2003.0
5140532,10349,7,2004.0
5140538,10349,7,1998.0
5140538,10349,7,1999.0
5140538,10349,7,2000.0
5140538,10349,7,2001.0
5140538,10349,7,2002.0
5140538,10349,7,2003.0
5140538,10349,7,2004.0
5140542,10349,4,1998.0
5140542,10349,4,1999.0
5140542,10349,4,2000.0
5140542,10349,4,2001.0
5140588,10349,7,1998.0
5140588,10349,7,1999.0
5140588,10349,7,2000.0
5140588,10349,7,2001.0
5140588,10349,7,2002.0
5140588,10349,7,2003.0
5140588,10349,7,2004.0
5140720,10349,7,1998.0
5140720,10349,7,1999.0
5140720,10349,7,2000.0
5140720,10349,7,2001.0
5140720,10349,7,2002.0
5140720,10349,7,2003.0
5140720,10349,7,2004.0
5140732,10349,7,1998.0
5140732,10349,7,1999.0
5140732,10349,7,2000.0
5140732,10349,7,2001.0
5140732,10349,7,2002.0
5140732,10349,7,2003.0
5140732,10349,7,2004.0
5140740,10349,7,1998.0
5140740,10349,7,1999.0
5140740,10349,7,2000.0
5140740,10349,7,2001.0
5140740,10349,7,2002.0
5140740,10349,7,2003.0
5140740,10349,7,2004.0
5140744,10349,7,1998.0
5140744,10349,7,1999.0
5140744,10349,7,2000.0
5140744,10349,7,2001.0
5140744,10349,7,2002.0
5140744,10349,7,2003.0
5140744,10349,7,2004.0
5140757,10349,4,1998.0
5140757,10349,4,1999.0
5140757,10349,4,2000.0
5140757,10349,4,2001.0
5140764,10349,7,1998.0
5140764,10349,7,1999.0
5140764,10349,7,2000.0
5140764,10349,7,2001.0
5140764,10349,7,2002.0
5140764,10349,7,2003.0
5140764,10349,7,2004.0
5140782,10349,7,1998.0
5140782,10349,7,1999.0
5140782,10349,7,2000.0
5140782,10349,7,2001.0
5140782,10349,7,2002.0
5140782,10349,7,2003.0
5140782,10349,7,2004.0
5140788,10349,3,1998.0
5140788,10349,3,1999.0
5140788,10349,3,2000.0
5346609,10349,4,1995.0
5346609,10349,4,1996.0
5346609,10349,4,1997.0
5346609,10349,4,1998.0
5346613,10349,4,1995.0
5346613,10349,4,1996.0
5346613,10349,4,1997.0
5346613,10349,4,1998.0
5346617,10349,4,1995.0
5346617,10349,4,1996.0
5346617,10349,4,1997.0
5346617,10349,4,1998.0
5346621,10349,4,1995.0
5346621,10349,4,1996.0
5346621,10349,4,1997.0
5346621,10349,4,1998.0
5346625,10349,4,1995.0
5346625,10349,4,1996.0
5346625,10349,4,1997.0
5346625,10349,4,1998.0
5346629,10349,4,1995.0
5346629,10349,4,1996.0
5346629,10349,4,1997.0
5346629,10349,4,1998.0
5346633,10349,4,1995.0
5346633,10349,4,1996.0
5346633,10349,4,1997.0
5346633,10349,4,1998.0
5346637,10349,4,1995.0
5346637,10349,4,1996.0
5346637,10349,4,1997.0
5346637,10349,4,1998.0
5346641,10349,4,1995.0
5346641,10349,4,1996.0
5346641,10349,4,1997.0
5346641,10349,4,1998.0
5346645,10349,4,1995.0
5346645,10349,4,1996.0
5346645,10349,4,1997.0
5346645,10349,4,1998.0
5346649,10349,4,1995.0
5346649,10349,4,1996.0
5346649,10349,4,1997.0
5346649,10349,4,1998.0
5346653,10349,4,1995.0
5346653,10349,4,1996.0
5346653,10349,4,1997.0
5346653,10349,4,1998.0
5346657,10349,4,1995.0
5346657,10349,4,1996.0
5346657,10349,4,1997.0
5346657,10349,4,1998.0
5346661,10349,4,1995.0
5346661,10349,4,1996.0
5346661,10349,4,1997.0
5346661,10349,4,1998.0
5346665,10349,10,1995.0
5346665,10349,10,1996.0
5346665,10349,10,1997.0
5346665,10349,10,1998.0
5346665,10349,10,1999.0
5346665,10349,10,2000.0
5346665,10349,10,2001.0
5346665,10349,10,2002.0
5346665,10349,10,2003.0
5346665,10349,10,2004.0
5355763,10349,2,2002.0
5355763,10349,2,2003.0
5476183,10349,10,1995.0
5476183,10349,10,1996.0
5476183,10349,10,1997.0
5476183,10349,10,1998.0
5476183,10349,10,1999.0
5476183,10349,10,2000.0
5476183,10349,10,2001.0
5476183,10349,10,2002.0
5476183,10349,10,2003.0
5476183,10349,10,2004.0
49455293,10349,1,2007.0
49455829,10349,1,2007.0
49947558,10349,1,2007.0
49987990,10349,1,2007.0
53592907,10349,1,2007.0
54473466,10349,0,2008.0
54473466,10349,0,2009.0
54473466,10349,0,2010.0
54473466,10349,0,2011.0
58651716,10349,1,2007.0
63669726,10349,1,2008.0
76653718,10349,0,2008.0
76653718,10349,0,2009.0
76653718,10349,0,2010.0
76653718,10349,0,2011.0
76817809,10349,0,2008.0
76817809,10349,0,2009.0
76817809,10349,0,2010.0
76817809,10349,0,2011.0
76818294,10349,9,2008.0
76818294,10349,9,2009.0
76818294,10349,9,2010.0
76818294,10349,9,2011.0
76818294,10349,9,2012.0
76818294,10349,9,2013.0
76818294,10349,9,2014.0
76818294,10349,9,2015.0
76818294,10349,9,2016.0
76858466,10349,9,2008.0
76858466,10349,9,2009.0
76858466,10349,9,2010.0
76858466,10349,9,2011.0
76858466,10349,9,2012.0
76858466,10349,9,2013.0
76858466,10349,9,2014.0
76858466,10349,9,2015.0
76858466,10349,9,2016.0
76920165,10349,9,2008.0
76920165,10349,9,2009.0
76920165,10349,9,2010.0
76920165,10349,9,2011.0
76920165,10349,9,2012.0
76920165,10349,9,2013.0
76920165,10349,9,2014.0
76920165,10349,9,2015.0
76920165,10349,9,2016.0
76920730,10349,0,2008.0
76920730,10349,0,2009.0
76920730,10349,0,2010.0
76920730,10349,0,2011.0
76920924,10349,0,2008.0
76920924,10349,0,2009.0
76920924,10349,0,2010.0
76920924,10349,0,2011.0
76921082,10349,0,2008.0
76921082,10349,0,2009.0
