university;subject;overall_study_situation;total_number_of_students;population_of_the_town;proportion_of_students_in_the_town;student_accommodation_rent;students_at_this_campus
RWTH Aachen;Computer Science;1.9;3,720;244,951;23.5;187 - 577;45,404
Uni Augsburg;Computer Science;2;1,800;289,584;9.2;190 - 362;20,035
Uni Bamberg;Computer Science;1.6;550;75,743;17.1;196 - 360;12,663
Uni Bayreuth;Computer Science;1.9;670;73,065;17.8;128 - 332;12,964
FU Berlin;Computer Science;2.5;2,050;3,574,830;5.3;125 - 380;36,771
HU Berlin;Computer Science;2.1;1,600;3,574,830;5.3;125 - 380;34,963
TU Berlin;Computer Science;2.5;5,160;3,574,830;5.3;125 - 380;34,718
Uni Bielefeld;Computer Science;;1,440;333,451;11.4;172 - 355;25,074
Uni Bochum;Computer Science;;600;364,920;15.9;200 - 500;43,059
Uni Bonn;Computer Science;2.2;2,130;322,125;12.4;172 - 633;37,515
TU Braunschweig;Computer Science;2.2;1,010;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Computer Science;2.1;180;565,719;6.2;198 - 288;1,325
Uni Bremen;Computer Science;2.1;1,710;565,719;6.2;198 - 288;19,224
TU Chemnitz;Computer Science;;950;246,353;4.3;157 - 260;10,482
TU Clausthal;Computer Science;1.8;450;15,523;28.5;156 - 620;4,423
BTU Cottbus-Senftenberg/Cottbus;Computer Science;1.9;340;100,416;6.2;158 - 385;6,212
TU Darmstadt;Computer Science;1.8;3,840;157,437;29.3;190 - 547;25,840
TU Dortmund;Computer Science;2;5,360;585,813;9.3;181 - 250;33,952
TU Dresden;Computer Science;2.1;2,120;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Computer Science;2.9;1,430;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Duisb.;Computer Science;2.4;2,510;499,845;;238 - 450;42,910
Uni Duisburg-Essen/Essen;Computer Science;;1,270;583,084;;238 - 450;42,910
Uni Erl.-Nürnb./Erlangen;Computer Science;2.2;2,330;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Computer Science;2.7;2,340;736,414;9.8;203 - 431;47,134
TU Bergakademie Freiberg;Computer Science;;50;41,642;9.9;170 - 380;4,113
Uni Freiburg;Computer Science;2.2;940;227,590;14.4;196 - 412;24,488
Uni Göttingen;Computer Science;;600;119,177;29.9;123 - 353;30,872
FernUni Hagen;Computer Science;;6,460;188,266;38.1;181 - 250;67,983
Uni Halle-Wittenberg;Computer Science;;450;238,005;8.9;184 - 294;20,158
TU Hamburg;Computer Science;2.2;720;1,810,438;6;233 - 415;7,774
Uni Hamburg;Computer Science;;1,640;1,810,438;6;233 - 415;42,853
Uni Hannover;Computer Science;2.6;1,590;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Computer Science;1.8;620;159,914;22;165 - 363;26,980
Uni Hildesheim;Computer Science;1.9;400;101,687;11.3;156 - 620;8,056
TU Ilmenau;Computer Science;2.1;660;36,666;15.8;103 - 348;5,807
Uni Jena;Computer Science;2;470;110,321;19.8;103 - 348;17,335
TU Kaiserslautern;Computer Science;1.7;1,420;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Computer Science;1.8;3,160;309,999;13.4;157 - 362;24,814
Uni Kassel;Computer Science;2.2;820;199,062;15.3;173 - 420;24,140
Uni Kiel;Computer Science;2.2;1,310;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Koblenz;Computer Science;2;940;113,605;13.4;240 - 330;8,614
Uni Konstanz;Computer Science;2.1;590;83,789;19.3;228 - 420;11,078
Uni Leipzig;Computer Science;;1,030;571,088;6.8;138 - 425;28,797
Uni Lübeck;Computer Science;2;1,020;216,712;4.9;150 - 521;4,604
Uni Magdeburg;Computer Science;1.9;1,450;238,136;7.5;154 - 299;13,840
Uni Mainz;Computer Science;;770;213,528;18.2;258 - 412;30,315
