institute_id_ranking;institution_id
0;18406
1;10123
2;10119
3;10117
4;10165
5;10365
6;10167
7;10280
8;10276
9;10284
10;10240
11;10795
12;10182
13;10355
14;10242
15;10344
16;10210
17;10274
18;10353
19;10266
20;10268
21;10270
22;10115
23;10206
24;10349
25;10055
26;10236
27;10288
28;10357
29;10194
30;10192
31;10238
32;10047
33;
34;10361
35;10363
36;10325
37;
38;10202
39;10337
40;10465
41;10053
42;10351
43;10499
44;10359
45;10343
46;10204
47;10108
48;
49;10128
50;10272
51;10233
52;10244
53;10278
54;10111
55;27088
56;10427
57;10113
58;10345
59;10335
60;10291
61;10059
62;10321
63;10051
64;10057
65;10362
66;10121
67;10115
68;
69;10049
70;10282
71;10232
72;10045
73;
74;10208
75;10382
76;10465
77;10286
78;
79;
80;10514
81;
82;
83;10169
84;28402979
85;10125
86;
87;
88;
89;
90;
91;
92;
93;
94;
95;
96;10290
97;
98;10768
99;
100;
101;
102;
103;
104;10247
105;
106;
107;
108;
109;
110;10301
